order_date,store_id,product_id,category,region,season,inventory_level,units_sold,units_ordered,demand_forecast,inventory_turnover,demand_supply_gap,estimated_revenue,estimated_margin,inventory_status,promotion_effectiveness
2022-01-01,S001,P0001,Groceries,North,Autumn,231,127,55,135.47,0.5498,-95.53,3403.6000000000004,-367.02999999999975,Overstock,"No Promotion"
2022-01-01,S001,P0002,Toys,South,Autumn,204,150,66,144.04,0.7353,-59.96000000000001,7561.200000000001,-2362.7999999999993,Overstock,"No Promotion"
2022-01-01,S001,P0003,Toys,West,Summer,102,65,51,74.02,0.6373,-27.980000000000004,1637.415,-398.385,"Healthy Stock","Low Promotion Impact"
2022-01-01,S001,P0004,Toys,North,Autumn,469,61,164,62.18,0.1301,-406.82,1796.328,-322.81200000000035,Overstock,"Low Promotion Impact"
2022-01-01,S001,P0005,Electronics,East,Summer,166,14,135,9.26,0.0843,-156.74,1030.96,65.65999999999997,"Healthy Stock","No Promotion"
2022-01-01,S001,P0006,Groceries,South,Winter,138,128,102,139.82,0.9275,1.8199999999999932,8850.816,-1305.9839999999986,"Healthy Stock","Low Promotion Impact"
2022-01-01,S001,P0007,Furniture,East,Winter,359,97,167,108.92,0.2702,-250.07999999999998,2982.1679999999997,-563.1820000000002,Overstock,"Low Promotion Impact"
2022-01-01,S001,P0008,Clothing,North,Spring,380,312,54,329.73,0.8211,-50.26999999999998,29044.235999999997,-2183.8440000000046,Overstock,"No Promotion"
2022-01-01,S001,P0009,Electronics,West,Autumn,183,175,135,174.15,0.9563,-8.849999999999994,3266.5499999999997,176.04999999999973,"Healthy Stock","No Promotion"
2022-01-01,S001,P0010,Toys,South,Winter,108,28,196,24.47,0.2593,-83.53,1679.72,-34.16000000000008,"Healthy Stock","High Promotion Impact"
2022-01-01,S001,P0011,Furniture,South,Spring,258,150,153,152.74,0.5814,-105.25999999999999,7901.55,-1311.4499999999998,Overstock,"Low Promotion Impact"
